idx,question_id,context,question,options,image_1,image_2,image_3,image_4,image_5,image_6,image_7,image_type,answers,explanation,topic_difficulty,question_type,subfield,language,main_question_id,sub_question_id,is_arithmetic,ans_image_1,ans_image_2,ans_image_3,ans_image_4,ans_image_5,ans_image_6,release,group_id,strata_full,strata_final
571,english_239_1_r3,"Gari Dimeola is an investment advisor specializing in derivatives strategies in equity, fixed income,
and currency markets.
Dimeola is approached by his client, Ryan Karunathilike, for advice regarding option
strategies. Karunathilike is a U.K. domiciled client who wants to hedge a short position in Euros
(EUR) over the coming month. The current spot EUR/GBP exchange rate is 1.1523. Dimeola
advises Karunathilike that he has three strategies using derivatives on the EUR/GBP exchange
rate available to him, which are displayed in Figure 1.
<image_1>
Karunathilike asks Dimeola to review his existing options strategies. He presents the
signs of the Greek exposures of his strategies as displayed in Figure 2.
<image_2>
Karunathilike has identified a stock, GHS Corp., which historically has had options exhibiting
a volatility skew. The options of GHS currently exhibit a volatility smile, and Karunathilike believes
that within the next days implied volatility will revert back to a more usual profile. Karunathilike
asks Dimeola to design an options strategy to allow him to profit from this view. /n <ocr>image_1 ocr text: Figure 1:Hedging Strategies Recommended by Dimeola Strategy Position 1 Sell one month EUR/GBP forward 2 Buy one month GBP/EUR call option 3 Buy one-month EUR/GBP put option/nimage_2 ocr text: Figure 2:Greek Exposures of Dimeola's Existing Option Strategies Strategy Delta Gamma Theta Vega A Positive Positive Positive Positive B Positive Negative Positive Negative C Small Negative Positive Negative</ocr>",How many of the strategies in Figure 1 meet the objective of Karunathilike,['A. Zero' 'B. Two' 'C. All three'],,,,,,,,table,C,"Solution: C.
The U.K. investor is short EUR, so they will lose on this position when the Euro strengthens
against GBP. When the EUR strengthens against GBP the EUR/GBP rate will fall since it will cost
less EUR to b uy GBP (recall that the curriculum presents currency quotes as variable or fixed).
Hence, Strategy 1 and Strategy 3 would be adequate hedges. Conversely, when the EUR
strengthens against GBP the GBP/EUR rate will rise meaning that Strategy 2 is also an effective
hedge.",hard,multiple-choice,derivatives,english,239,1,0,,,,,,,release_basic_txt,english_239,hard_multiple-choice_derivatives,hard_multiple-choice
189,english_158_2_r3,"Nadia Ahmed is the head trader for Tweed Asset Management (Tweed) based in London, England. She is reviewing some of the trade requests the desk has received from its personal and institutional portfolio managers and is deciding on what tactics to recommend.
Ahmed starts by reviewing the trade requests from one of Tweed’s personal portfolio managers, Edwin Moore. She passes the requests along to Vladimir Norsk, one of the firm’s traders. The first trade Ahmed asks Norsk to execute is a purchase of 2,000 shares of BDF Ltd., which trades on the SEAQ, London’s dealer market for infrequently traded shares. Norsk reviews the current limit order book for BDF shown in Exhibit 1.

<image_1>


Norsk was able to fill the order for BDF during the day by executing the trades shown in Exhibit 2.

<image_2>

The next request that Ahmed reviews is for the purchase of 300,000 shares of WWT pie from a client who is quite concerned about price execution. She reviews the trading volumes from the previous day (Exhibit 3) and, prepares her recommendation on the trade.

<image_3>

The final order from Moore that Ahmed asks Norsk to execute is a purchase of 1,000 shares of JAK pie with a limit order of £25.00 good for the day.
Norsk was unsuccessful in filling the limit order on the first day and after consultation with the client they agree to revise the price. Two days later Norsk successfully purchases 800 shares of JAK at £26.25 with commission costs of £135.00. Moore decides to cancel the order for the remaining 200 shares when the shares close that day at £26.75.
Moore and Ahmed discuss the implementation shortfall from the investment in JAK, based on the $25.50 closing price in Exhibit 3, and Moore makes the following statement:
I know that market movement is a factor in the implementation shortfall. Because market movement is beyond Norsk’s control, when assessing his performance, we should adjust the calculation to only include the commission costs and the missed trading opportunity for the 200 shares. /n <ocr>image_1 ocr text: Exhibit 1 Limit OrderBook for BDF at 11:15:08 Bid Ask Dealer Price Size Dealer Price Size C 15.42 800 B 15.48 1,800 B 15.38 2,000 A 15.50 1,000 A 15.36 500 C 15.52 600/nimage_2 ocr text: Exhibit2 Execution of BDF Purchase Time of Trade Trade Trade Size Price Ask Price Ask Size Bid Price Bid Size 11:15:09 1,500 15.46 15.48 1,500 15.38 2,000 12:20:30 500 15.50 15.50 1,000 15.36 500/nimage_3 ocr text: Exhibit3 Selected Trading Information London Stock Exchange Previous Day Price History Average Daily Volume Stock (ADV) High Low Close WWT 450,000 12.50 12.43 12.48 JAK 2,000,000 25.80 24.20 25.50</ocr>","Using the information in Exhibits 1 and 2, which of the following statements about the execution of the trade for BDF is most accurate?","['A. The price movement for the first trade resulted in an effective spread higher than the quoted spread.'
 'B. The trader should have been able to fill the order completely with Dealer B.'
 'C. The price movement for the first trade was favorable for Tweed’s trader.']",,,,,,,,screenshot,C,"C is correct. The first trade at 11:15:09 was executed for 1,500 shares at £15.46 (Exhibit 2) when the ask was £15.48 (Exhibit 1), therefore Tweed’s trader was able to purchase the shares for less than the ask which is a favorable price movement for the trader.",hard,multiple-choice,portfolio management,english,158,2,0,,,,,,,release_basic_txt,english_158,hard_multiple-choice_portfolio management,hard_multiple-choice
675,english_260_2_r3,"Consider the three stocks in the following table<image_1>. Pt represents price at time t, and Qt represents shares outstanding at time t. Stock C splits two for one in the last period. /n <ocr>image_1 ocr text: Po Qo P1 Q1 P2 Q2 A 90 100 95 100 95 100 B 50 200 45 200 45 200 C 100 200 110 200 55 400</ocr>",What must happen to the divisor for the price-weighted index in year 2?,,,,,,,,,table,2.34,"In the absence of a split, Stock C would sell for 110, so the value of the index would be: 250/3 = 83.333
After the split, Stock C sells for 55. Therefore, we need to find the divisor (d) such that: 83.333 = (95 + 45 + 55)/d ⇒ d = 2.340",medium,open question,equity,english,260,2,0,,,,,,,release_basic_txt,english_260,medium_open question_equity,medium_open question
56,english_50_1_r3,<ocr>image_1 ocr text: ri rf=g0+g1b1 + g2s(ei)+ eit where: ri rf = the average difference between the monthly return on stock i and the monthly risk free rate bi = the beta of stock i s-(ej) = a measure of the nonsystematic variance of the stock i</ocr>,"Consider the regression equation: <image_1> If you estimated this regression equation and the CAPM was valid, you would expect the estimated coefficient, g0, has to be","['A. 0' 'B. 1' 'C. equal to the risk free rate of return'
 'D. equal to the average difference between the monthly return on the market portfolio and the monthly risk free rate'
 'E. None of the options are correct']",,,,,,,,screenshot,A,"In this model, the coefficient, g0, represents the excess return of the security, which would be zero if the CAPM held.",easy,multiple-choice,portfolio management,english,50,1,0,,,,,,,release_basic_txt,english_50,easy_multiple-choice_portfolio management,easy_multiple-choice
307,english_180_6_r3,"The Ptolemy Foundation was established to provide financial assistance for education in the field of astronomy. Tom Fiske, the foundation’s chief investment officer, and his staff of three analysts use a top-down process that begins with an economic forecast, assignment of asset class weights, and selection of appropriate index funds. The team meets once a week to discuss a variety of topics ranging from economic modeling, economic outlook, portfolio performance, and investment opportunities, including those in emerging markets.
At the start of the meeting, Fiske asks the analysts, Len Tuoc, Kim Spenser, and Pier Poulsen, to describe The Ptolemy Foundation was established to provide financial assistance for education in the field of astronomy. Tom Fiske, the foundation’s chief investment officer, and his staff of three analysts use a top-down process that begins with an economic forecast, assignment of asset class weights, and selection of appropriate index funds. The team meets once a week to discuss a variety of topics ranging from economic modeling, economic outlook, portfolio performance, and investment opportunities, including those in emerging markets.
At the start of the meeting, Fiske asks the analysts, Len Tuoc, Kim Spenser, and Pier Poulsen, to describe and justify their different approaches to economic forecasting. They reply as follows.
Tuoc: I prefer econometric modeling. Robust models built with detailed regression analysis can help predict recessions well because the established relationships among the variables seldom change.
Spenser: I like the economic indicators approach. For example, the composite of leading economic indicators is based on an analysis of its forecasting usefulness in past cycles. They are intuitive, simple to construct, require only a limited number of variables, and third-party versions are also available.
Poulsen: The checklist approach is my choice. This straightforward approach considers the widest range of data. Using simple statistical method, such as time-series analysis, an analyst can quickly assess which measures are extreme. This approach relies less on subjectivity and is less time-consuming.”
The team then discusses what the long-term growth path for US GDP should be in the aftermath of exogenous shocks because of the financial crisis that began in 2008. They examine several reports from outside sources and develop a forecast for aggregate trend growth using the simple labor-based approach and appropriate data chosen from the items in Exhibit 1.


<image_1>

Upon a review of the portfolio and his discussion with the investment team, Fiske determines a need to increase US large-cap equities. He prefers to forecast the average annual return for US large-cap equities over the next 10 years using the Grinold–Kroner model and the data in Exhibit 2.

<image_2>

The analysts think that adding to US Treasuries would fit portfolio objectives, but they are concerned that the US Federal Reserve Board is likely to raise the fed funds rate soon. They assemble the data in Exhibit 3 in order to use the Taylor rule (giving equal weights to inflation and output gaps) to help predict the Fed’s next move with respect to interest rates.

<image_3>
To assess the attractiveness of emerging market equities, Fiske suggests that they use the data in Exhibit 4 and determine the expected return of small-cap emerging market equities using the Singer–Terhaar approach.

<image_4>
Finally, after examining data pertaining to the European equity markets, the investment team believes that there are attractive investment opportunities in selected countries. Specifically, they compare the recent economic data with long-term average trends in three different countries, shown in Exhibit 5.

<image_5> /n <ocr>image_1 ocr text: Exhibit 1: 10-Year Forecast of Us Macroeconomic Data Growth in real consumer spending 3.10% Yield on 10-year Treasury bonds. 2.70% Growth in potential labor force 1.90% Growth in total factor productivity 0.50% Growth in labor force participation 0.3% Growth in labor productivity 1.40% Change in trade deficit. 0.5%/nimage_2 ocr text: Exhibit 2: Current and Expected Market Statistics, US Large-Cap Equities Expected dividend yield 2.10% Expected inflation rate 2.30% Expected repurchase yield 1.00% Current P/E 15.6 Expected real earnings growth 2.60% Expected P/E 10 years prior 15/nimage_3 ocr text: Exhibit 3:Current Data and Forecasts from the Fed Statistic Status Value (%) Current 3 Fed funds rate Neutral 2.5 Trend 4.5 GDP growth rate Forecast 3 Target 2.5 Inflation Forecast 3.2/nimage_4 ocr text: Exhibit 4:Data for Analyzing Emerging Markets Standard Correlation Degree of Asset Class Deviation Integration with GIM with GIM Emerging small-cap equity 23% 0.85 65% Global investable market (GiM) 7.00% Additional information Risk-free rate:2.5% Illiquidity premium: 60 bps Sharpe ratio for GlM and emerging small-cap equity:0.31/nimage_5 ocr text: Exhibit 5: Relationship of Current Economic Data to Historical Trends: Selected European Countries Ireland Spain Hungary Production Above trend, declining Well above trend Below trend, rising Inflation Above trend, declining Average, rising Below trend, stable Capacity utilization Above trend Average, rising Below trend Confidence Average, declining Well above trend Below trend, rising Fiscal/monetary policies Cautionary Stimulatory Restrictive</ocr>","Among the three countries examined by the investment team, which is in the most attractive phase of the business cycle for equity returns",['A. Hungary' 'B. Ireland' 'C. Spain'],,,,,,,,table,A,"Answer = A. The most favorable phases when considering equity returns are initial recovery and early upswing whereas the late upswing, slowdown, and recession phases carry the greater risk for equities. Hungary has the combination of factors consistent with the initial recovery/early upswing phases of the business cycle – increasing production, low inflation, improving confidence, stimulatory fiscal/monetary policies, and abundant capacity. These indicators point to strongly rising stock prices and therefore most attractive for equity returns.",hard,multiple-choice,economics,english,180,6,0,,,,,,,release_basic_txt,english_180,hard_multiple-choice_economics,hard_multiple-choice
589,english_242_5_r3,"Robert Waterman, and Sophia Chen, are portfolio managers of a U.S-based investment
firm, Simon Fraser Analytics. Waterman and Chen are thinking investing in U.S. and U.K bonds.
They consider all kinds of yield curve and other strategies. Exhibit 1 shows the data they collected
from the liquid government bonds on U.S and U.K market.
<image_1>
Also both of them are interested in:
1. Riding the yield curve over next year
2. Long or short call and/or put options on U.K. government bonds through purchasing
convexity
3. Carrying out a carry trade between U.S and U.K 3-year duration bonds.
Waterman and Chen consider to buy a bond issued by a Norwegian BeeBalm Manufacture
firm. Exhibit 2 shows their expectation. 
<image_2>
According to their market expectation, they decide to hedge the NOK currency risk with a
one-year forward contract after investing in the BeeBalm bond. However, they find that market
has become inactive resulting in high transaction costs. There is a more active forward market for
the Swedish currency (SEK), so they determine to construct a cross hedge by selling the SEK
forward to buy the USD.
Lastly, Waterman and Chen think about to purchase a BB-rated U.S. corporate bond with a
duration of 3.5 and a yield of 3.7%. While they do not agree on the best way to measure the
credit spread, they both agree its credit will improve and spread will narrow down.
• Waterman says we can use Exhibit 1 to calculate the G-spread of the U.S. bond as being
3.64%
• Chen says the I-spread is superior because it is based on swap fixed rates and these have
less credit risk.
• Chen also admit that G-spread has an advantage because it is the return we can expect to
earn if we hedge interest rate risk. /n <ocr>image_1 ocr text: Exhibit 1 Government Bonds Yield Duration UnitedStates United Kingdom 0.9 0.5% 1.00% 1.9 0.8% 1.70% 3.0 1.00% 2.00% 4.1 1.10% 2.10% 4.9 1.20% 2.20% 5.8 1.25% 2.25%/nimage_2 ocr text: Exhibit 2 BeeBalm Manufacture firm bond data Risk free rate in Norway 2.8% Risk free rate in U.S 0.50% Return on BeeBalm bond in Norwegian NOK 7.00% Expected changes in the NOK relative to the U.S.dollar -0.40%</ocr>","In order for the cross hedge of selling the SEK forward to work, the correlation of","['A. SEK and NOK must be high, approaching +1'
 'B. SEK and USD must be high, approaching +1'
 'C. Both the SEK and NOK must be highly correlated to the USD, approaching +1']",,,,,,,,table,A,"Solution: A
The U.S.-based firm would normally sell the foreign currency (NOK) and buy the USD to hedge
the currency risk. An alternative is to sell another currency that is highly correlated to the NOK, a
form of cross hedge (sometimes called a proxy hedge). The idea is that if the NOK declines versus
the USD, the SEK will also decline for a gain on the short SEK contracts that offsets the loss on
NOK. There must be high correlation and a predictable relationship of the SEK and NOK for this to
work. Higher correlation to the USD has nothing to do directly with the cross hedge of the
currency risk. Note that if the USD and the other currencies are highly correlated, it suggests they
change in similar fashion to each other; in other words, the exchange rate will be relatively stable
and change in currency value will be a less significant factor in the return earned from investing
in the foreign bond.",hard,multiple-choice,fixed income,english,242,5,0,,,,,,,release_basic_txt,english_242,hard_multiple-choice_fixed income,hard_multiple-choice
1365,english_479_2_r3,"Consider an instrument that will pay off S dollars in 2 years, where S is the value of the Nikkei index. The index is currently 20,000. The yen/dollar exchange rate is 100 (yen per dollar). The correlation between the exchange rate and the index is 0.3 and the dividend yield on the index is 1% per annum. The volatility of the Nikkei index is 20% and the volatility of the yen/dollar exchange rate is 12%. The interest rates (assumed constant) in the U.S. and Japan are 4% and 2%, respectively. Recall the change of numeraire principle in the image.<image_1> /n <ocr>image_1 ocr text: Define: Px(t, T):Value at time t in currency X of a zero-coupon bond paying off 1 unit of currencyX at time T Pyt, T): Value at time t in currency Y of a zero-coupon bond paying off 1 unit of currency Yat time T VTValue of V at time T Ex(V): Expected value of Vt in a world defined by numeraire Px(t, T) EyV):Expected value of V in a world defined by numeraire Pyt, T) The numeraire ratio when we move from the Pyt,T) numeraire to the Pxt,T) numeraire is Pxt,T) Wt Pyt,T where S(t) is the spot exchange rate units of Y per unit of X) at time t.It follows from this that the numeraire ratio W(t) is the forward exchange rate (units of Y per unit of X) for a contract maturing at time T.Define: wVolatility of W vVolatility of V PvwInstantaneous correlation between V and W. From equation (28.35), the change of numeraire increases the growth rate of V by ay, where ay=Pvww (30.4) If it is assumed that the volatilities and correlation are constant, this means that Ex(Vr) = Ey(Vr)ePw0y0wT (30.5) or as an approximation ExV=EyVr1+PvwywT (30.6) These equations can be used to value diff swaps where interest in one currency is applied to a principal in another currency..</ocr>",Suppose that the exchange rate at some point during the life of the instrument is $Q$ and the level of the index is $S$. Can a U.S. investor create a portfolio that changes in value by approximately $\bigtriangleup S$ dollar when the index changes in value by $\bigtriangleup S$ yen by investing S dollars in the Nikkei and shorting $SQ$ yen?,,,,,,,,,screenshot,Yes.,"An amount SQ yen is invested in the Nikkei. Its value in yen changes to $SQ(1+\frac{\bigtriangleup S}{ S})$. In dollars this is worth $SQ\frac{1+\bigtriangleup S/S}{Q+\bigtriangleup Q}$, where $\bigtriangleup Q$ is the increase in $Q$ . When terms of order two and higher are ignored, the dollar value becomes $S(1+\bigtriangleup S/S -\bigtriangleup Q/Q)$. \\
 The gain on the Nikkei position is therefore $\bigtriangleup S -S\bigtriangleup Q /Q$, when $SQ$ yen are shorted the gain in dollars is $SQ(\frac{1}{Q}-\frac{1}{Q+\bigtriangleup Q})$\\
 This equals $S\bigtriangleup Q / Q$ when terms of order two and higher are ignored. The gain on the whole position is therefore $\bigtriangleup S$as required.",hard,open question,derivatives,english,479,2,0,,,,,,,release_basic_txt,english_479,hard_open question_derivatives,hard_open question
614,english_247_3_r3,"Daenerys Targaryen is the owner of an investment management firm, Westeros Funds. The firm's
three largest funds, Arya Investments, Bran Capital and Cersei Partners, offer a variety of
investment styles with a range of investment approaches. Characteristics of the three funds are
presented in Exhibit 1.
<image_1>
Targaryen has been worried recently that her fund managers may be subject to some
common behavioral biases. Commenting on these biases, Targaryen makes the following two
statements:
1) ""I noticed that one of the funds has been poorly diversified, with a large number of holdings
in securities that haven't performed well over the last few years. I think this fund has
excessive risk exposure.""
2) ""The manager of one of my funds has not sold his securities in a very long time with the
expectation of strong returns, and as a result likely missed out on profitable new investment
opportunities.""
The North foundation is one of Westeros’ Clients. In a meeting with Westeros, the
foundation board tells Targaryen that they are considering hiring a new equity investment
manager, and want Targaryen to evaluate two candidate funds. Fund information is presented in
Exhibit2
<image_2>
<image_3> /n <ocr>image_1 ocr text: Exhibit 1: Fund Information for Arya, Bran and Cersei Arya Bran Cersei Target active risk. 9.00% 6.50% 1.00% Maximum sector deviation 2.50% 0.00% 2.00% Maximum risk contribution to a single security. 7.00% 1.00% 1.00% Monthly arithmetic return 0.70% 0.80% 1.00% Standard deviation of return. 3.00% 4.00% 4.50%/nimage_2 ocr text: Exhibit 2: Description of Funds Fund Description Dorne's manager seeks returns by following a comprehensive process of understanding the business model and competitive advantages of each firm.He also uses financial models to forecast free cash flows and integrates growth in the. Dorne analysis to determine each security's current valuation. The fund manager uses his judgment to evaluate the relative importance of this analysis and decides on. portfolio allocation with the help of the investment committee. The fund, with the help of analysts, maintains a wide coverage of companies within each industry.. Essos is a long-only fund and takes no leverage. It aims to achieve return premiums from a balanced exposure to known, rewarded factors. It incorporates. EsSoS research-based rules and factor-based models to determine appropriate sector weights. The fund seeks to reduce exposure to idiosyncratic risk and holds a large. number of securities using a scoring approach to rank them according to value and./nimage_3 ocr text: profitability metrics within sectors. The limit on any single security position is  2% irrespective of benchmark weight, sector deviations  8% from the benchmark. and active risk limited to 5%. Riverland focuses on skillfully timing exposures to factors, both rewarded and unrewarded, and to other asset classes. The fund's managers use timing skills to. Riverland opportunistically shift their portfolio to capture returns from factors such as country, asset class, and sector.</ocr>","Based on return and risk data in Exhibit 1, which manager's portfolio has the highest expected compound return using a leverage factor of 2",['A. Arya' 'B. Bran' 'C. Cersei'],,,,,,,,table,C,Solution: C.<ans_image_1>,hard,multiple-choice,equity,english,247,3,0,,,,,,,release_basic_txt,english_247,hard_multiple-choice_equity,hard_multiple-choice
217,english_163_4_r3,"Alpha Consultants is working with the German-based Berg Pension Fund to select a fixed-income firm to manage a €100 million global bond portfolio. Delta Managers is the third and final presenter to Berg's investment committee. After going through its investment philosophy and process, Delta addresses several questions.
Alpha expresses concern about the use of leverage in the portfolio. Delta indicates that by using 100% leverage, it can generate incremental returns. Delta provides the committee with the portfolio's characteristics in Exhibit 1.


<image_1>

Berg's committee is concerned that the portfolio's duration is inappropriate given the committee's view that rates might rise. They ask how Delta can use the futures market to manage the portfolio's interest rate risk. The committee states that it would like a target duration of 4.


Delta then makes the following statement to the committee:
International interest rates are not perfectly correlated. In fact, because this is a global bond portfolio, 60% of the portfolio is from German issuers and has average duration of 7 and the remainder is from UK issuers with average duration of 4.5, both before any hedging activities to meet the committee's duration target. Historically, the country beta of the United Kingdom (i.e., for German rates relative to UK rates) is estimated to be 0.55.


<image_2>

Berg's committee then asks Delta to make a recommendation about whether the portfolio should be hedged back to the euro, its domestic currency. Delta responds that short interest rates are currently 2.50% in the United Kingdom and 3.25% in Germany and that Delta's currency strategists forecast that the euro will depreciate by 0.35%.
Berg's committee then asks whether a global portfolio would benefit from the inclusion of emerging market debt. Delta responds that returns can be attractive in emerging markets during certain periods but that the following risks of this asset class must be understood:
Risk 1: Returns are frequently characterized by substantial positive skewness. Risk 2: If a default of sovereign debt occurs, recovery against sovereign states can be difficult. Risk 3: The frequency of default and ratings transition is significantly higher than it is in developed market corporate bonds with similar ratings.
At the conclusion of the presentation, Alpha and Berg's committee convene to discuss which of the three managers that presented should be selected for the €100 million mandate. Alpha advises Berg that the following considerations are important when evaluating fixed-income portfolio managers:
Criterion 1: Style analysis will enable us to understand the active risks the manager has taken relative to the benchmark and which biases have consistently added to performance. Criterion 2: Decomposing the portfolio's historical returns will show whether the manager's skills will allow the manager to consistently outperform over time. Criterion 3: We could select two of the three managers that presented if our analysis shows that the correlation between their alphas is low. /n <ocr>image_1 ocr text: Exhibit 1 Portfolio Characteristics Assets Liabilities Portfolio ( millions 200 100 Duration 6 1 Expected return (%) 5.5 Interest rate on borrowed 4.75 funds (%)/nimage_2 ocr text: Exhibit 2 Futures Market Data E Futures contract price 100,000 Conversion factor 1.15 Duration of cheapest-to-deliver 5.2 bond Market price of cheapest-to-deliver 98,000 bond</ocr>","Based on Delta's expectations regarding currencies, and assuming that interest rate parity holds, should Delta most likely recommend using forward contracts to hedge the portfolio's British pound exposure?","['A. No, because the euro is expected to depreciate by more than 0.35%'
 'B. Yes'
 'C. No, because the euro is expected to appreciate by more than 0.35%']",,,,,,,,table,B,"Answer = B. Using interest rate parity, the euro is expected to depreciate by 3.25% – 2.50% = 0.75%. Delta's strategists believe that the euro will depreciate by only 0.35%. Based on expected returns alone, Delta should hedge the currency risk using a forward contract and lock in a 0.75% gain in British pounds.",medium,multiple-choice,fixed income,english,163,4,0,,,,,,,release_basic_txt,english_163,medium_multiple-choice_fixed income,medium_multiple-choice
1196,english_422_4_r3,<image_1> /n <ocr>image_1 ocr text: State of Return on Return on Economy Stock A Stock B Bear .108 .067 Normal .126 .113 Bull .064 .276</ocr>,Calculate standard deviation of Stock B.,,,,,,,,,table,".1401, or 14.01%","To calculate the standard deviation, we first need to calculate the variance. To find the variance, we find the squared deviations from the expected return. We then multiply each possible squared deviation by its probability, and then add all of these up. The result is the variance. So, the variance and standard deviation of Stock B are:
 <ans_image_2>",easy,open question,equity,english,422,4,0,,,,,,,release_basic_txt,english_422,easy_open question_equity,easy_open question
