idx,question_id,context,question,options,image_1,image_2,image_3,image_4,image_5,image_6,image_7,image_type,answers,explanation,topic_difficulty,question_type,subfield,language,main_question_id,sub_question_id,is_arithmetic,ans_image_1,ans_image_2,ans_image_3,ans_image_4,ans_image_5,ans_image_6,release,group_id,strata_full,strata_final
989,english_353_3_r3,"The financial statements of Snapit Company are given below. <image_1> /n <ocr>image_1 ocr text: Snapit Company IncomeStatement (2009) Sales $4.000.000 Cost of goods sold 3.040.000 Gross profit 960,000 Selling and administrative expenses 430.000 Operating profit 530.000 Interest expense 160.000 Income before tax 370,000 Tax expense 148,000 Net income $222.000 Balance Sheet 2009 2008 Cash $60.000 $50,000 Accounts receivable 550,000 500,000 Inventory 690.000 620,000 Total current assets 1,300,000 1.170,000 Fixed assets 1,300,000 1,230,000 Total assets 2,600,000 2,400,000 Accounts payable 270.000 250,000 Bank loan 580.000 500.000 Total current liabilities 850.000 750,000 Bonds payable 900,000 1,000,000 Total liabilities 1.750.000 1.750.000 Common stock (25,000 shares) 250,000 250.000 Retained earnings 600,000 400,000 Total liabilities & equity $2,600,000 $2,400,000 Note:The common shares are trading in the stock market for $100 each.</ocr>",Refer to the financial statements of Snapit Company. The firm's leverage ratio for 2009 is,"['A. 2.25.', 'B. 3.53.', 'C. 2.61.', 'D. 3.06.', 'E. None of the options']",,,,,,,,table,D,"$2,600,000/$850,000 = 3.06.",easy,multiple-choice,financial statement analysis,english,353,3,1,,,,,,,release_basic_txt,english_353,easy_multiple-choice_financial statement analysis,easy_multiple-choice
1054,english_373_1_r3,"McCaw Cellular Communications reported earnings before interest and taxes of $850 million in 1993, with a depreciation allowance of $400 million and capital expenditures of $ 550 million in that year; the working capital requirements were negligible. The earnings before interest and taxes and net cap ex are expected to grow 20% a year for the next five years. The cost of capital is 10% and the return on capital is expected to 15% in perpetuity after year 5; the growth rate in perpetuity is 5%. The firm has $10 billion in debt outstanding with the following characteristics.
<image_1>
The annualized standard deviation in the firm's stock price is 35%, while the annualized standard deviation in the traded bonds is 15%. The correlation between stock and bond prices has been 0.5 and the average debt ratio over the last few years has been 60%. The three-year bond rate is 5% and the tax rate is 40%. /n <ocr>image_1 ocr text: Duration Debt 1 year $2 billion 2 years $4 billion 5 years $4 billion</ocr>",Estimate the value of the firm.,,,,,,,,,table,"$13,386.28 million","Current free cashflow to firm = $ 850* (1-.4) – (550 – 400) = $ 700 million
<ans_image_1>
I used a reinvestment rate of 33.33% (5/15) in the terminal year.

Terminal value = 888.33/(.10-.05) = $ 17,766

Value of firm = 392.73 + 428.43 + 467.38 + 509.87 + 556.22 + 17766.60/(1.1^5) = $13,386.28 million",hard,open question,derivatives,english,373,1,1,,,,,,,release_basic_txt,english_373,hard_open question_derivatives,hard_open question
641,english_253_1_r3,"Conner McClelland is a private client financial consultant with US-based Edmonstone Wealth
Management LLC. McClelland has been engaged by Bradley and Reagan Graham to develop a
personal wealth management plan. Prior to meeting with McClelland, the Grahams filled out a
personal profile questionnaire that will be used in developing their wealth management plan.
Using information from the questionnaire, McClelland prepares Exhibit 1.
<image_1>
<image_2>
<image_3>
<image_4>
At their initial meeting, Bradley tells McClelland that he recently attended a financial
planning seminar conducted by his employer’s human resources department. One of the
presenters discussed the importance of preparing and understanding the components of an
economic balance sheet compared with a traditional balance sheet. Bradley was confused by a
few of the presenter’s comments and asks McClelland for further clarification. The presenter’s
comments were as follows:
• Real estate can be described as a personal asset, an investment asset, and a mixed asset.
• Financial capital consists of tangible and intangible assets, including both the vested and
unvested portions of an employer pension plan.
• The value of human capital relative to overall economic wealth is typically higher for an
individual in mid-career with an established earnings record than for an individual in the
early stages of his career.
As McClelland reviews insurance coverage with the Grahams, he explains that there are
various ways to manage risk. “It depends on the frequency of a risk occurring and the severity of
the potential loss. For example, consider the following two risks:
• An earthquake: This risk seldom occurs but would result in a large financial loss;
• Dental cavities: This risk arises frequently, resulting in small financial losses.”
McClelland determines that both Bradley’s and Reagan’s life insurance coverage is
inadequate. Bradley is particularly concerned about the inadequacy of his life insurance and asks
McClelland to calculate how much additional insurance he should purchase to cover him until he
retires in exactly 15 years and begins to receive his employer pension. McClelland prefers to use
the human life value method to determine the appropriate level of life insurance coverage.
Exhibit 2 contains additional personal and financial information about Bradley.
<image_5>
The Grahams mention that a primary concern is the ability to manage the risks to both their financial and human capital so that they can achieve their financial goals of maintaining a
comfortable lifestyle while having sufficient assets to purchase a vacation home, pay for their
children’s university education, and fund charitable donations.
Bradley mentions that he and Reagan have some concern about possibly outliving their assets
and that he understands annuities can help protect against this risk. He is interested in an annuity
that will provide income for as long as one of them is alive. The Grahams have average risk
tolerance and expect they will be able to adjust their spending in retirement if necessary. /n <ocr>image_1 ocr text: Exhibit 1 Graham Family:Personal and Financial Information Occupations and Family Structure Bradley is a 50-year-old electrical engineer at a major utility company. His annual income of $175,o00 is projected to increase 3% per year. He has a defined-contribution pension plan and expects to retire at age 65. Reagan is a 48-year-old pharmacist with a pharmaceutical company. Her annual income of $132,000 is projected to increase 3% per year.She has a defined-contribution pension plan and expects to retire at age 65. Prior to joining thepharmaceutical company, Reagan had a 20-year career in the Us Navy, retiring at the rank of commander. The family has two children, ages 10 and 8./nimage_2 ocr text: Financial Information Checking account $27,000 Taxable investment account 625,000 Residence 525,000 Residential mortgage 285,000 Outstanding balance on a $100,o00 home equity line of credit. 38,000 Bradley's defined-contribution plan (vested; normal retirement age for the 796,000 plan is 65) Cash value of Bradley's life insurance ($250,o00 death benefit). 67,000 Estimated present value of Bradley's future earnings 2,150,000 Reagan's defined-contribution plan (vested;normal retirement age for the 160,000 plan is 65) Present value of Reagan's military pension (vested;inflation indexed;survivor 1,320,000 benefit) Cash value of Reagan's life insurance ($250,o00 death benefit) 52,000 Estimated present value of Reagan's future earnings 1,790,000 Estimated present value of the Grahams' futureconsumption 3,700,000/nimage_3 ocr text: Aspirational and Other Goals Cost of four years of university for the two children, with an estimated present value of $350,000/nimage_4 ocr text: Purchase of a vacation home in the next five years, with an estimated present value of $325,000 Donations to charitable organizations during the next 15 years, with an estimated present value of$400,000/nimage_5 ocr text: Exhibit 2 Bradley Graham:Additional Personal and Financial Information Current annual income; salary and expenses expected to increase 3% per year $175,000 Income and payroll taxes (percentage of annual income) 30% Employer contribution to defined-contribution plan (percentage of annual 5% income) Annual family expenses attributable to Bradley 20,000 Estimated tax rate on income earned on insurance proceeds 20% Applicable discount rate 4%</ocr>","Using the data in Exhibit 1, the Grahams’ net wealth (in thousands) is closest to","['A. $2,174', 'B. $2,414', 'C. $2,795']",,,,,,,,screenshot,B,Solution: B. <ans_image_1>,hard,multiple-choice,alternative investments,english,253,1,1,,,,,,,release_basic_txt,english_253,hard_multiple-choice_alternative investments,hard_multiple-choice
1036,english_368_2_r3,"In a particular year, Aggie Mutual Fund earned a return of 15% by making the following investments in the following asset classes: <image_1>. The return on a bogey portfolio was 10%, calculated as follows: <image_2> /n <ocr>image_1 ocr text: Weight Return Bonds 10% 6% Stocks 90% 16%/nimage_2 ocr text: Weight Return Bonds (Lehman Brothers Index) 50% 5% StocksS&P500 Index 50% 15%</ocr>",The contribution of asset allocation across markets to the total excess return was,"['A. 1%.', 'B. 3%.', 'C. 4%.', 'D. 5%.']",,,,,,,,table,C,<ans_image_1>,easy,multiple-choice,portfolio management,english,368,2,1,,,,,,,release_basic_txt,english_368,easy_multiple-choice_portfolio management,easy_multiple-choice
1170,english_415_2_r3,"A stock has had the following year-end prices 
 and dividends:
 <image_1> /n <ocr>image_1 ocr text: Year Price Dividend $73.18 2 77.98 $1.15 3 69.13 1.25 4 84.65 1.36 5 91.37 1.47 6 103.66 1.60</ocr>",What are the geometric return for the stock?,,,,,,,,,table,".0894, or 8.94%","To calculate the arithmetic and geometric average returns, we must first calculate the return for each year. The return for each year is:
 R1 = ($77.98 – 73.18 + 1.15) / $73.18 = .0813, or 8.13%
 R2 = ($69.13 – 77.98 + 1.25) / $77.98 = –.0975, or –9.75%
 R3 = ($84.65 – 69.13 + 1.36) / $69.13 = .2442, or 24.42%
 R4 = ($91.37 – 84.65 + 1.47) / $84.65 = .0968, or 9.68%
 R5 = ($103.66 – 91.37 + 1.60) / $91.37 = .1521, or 15.21%
 The geometric average return was:
 RG = [(1 + .0813)(1 + –.0975)(1 – .2442)(1 + .0968)(1 + .1521)]1/5 – 1 
 RG = .0894, or 8.94%",easy,open question,corporate finance,english,415,2,1,,,,,,,release_basic_txt,english_415,easy_open question_corporate finance,easy_open question
592,english_243_2_r3,"Samuel Morse, is a senior analyst in the Balance Sheet Strategy Division of Bayside
Insurance. Morse has been asked to contrast the merits of cash flow matching and duration
matching. Bayside presently uses both strategies, but given the recent increase in volatility in US
interest rates over the last month, Bayside’s management wants to better prepare for future
opportunities.
Morse also considers the use of derivatives to manage interest rate risk. This would be a new
strategy for Bayside. Morse determines the number of bond futures needed to immunize the
overall interest rate risk exposure of the company. The basis point value (BPV) for the asset
portfolio is 48,000, while the liability portfolio has a BPV of 22,000. To facilitate her analysis,
Morse compiles the additional information related to bond futures shown in Exhibit 1.
<image_1>
Morse intends to construct sample portfolio structures by shifting the allocations between
three tenors of bullet government bonds: 2-year, 10-year and 30-year US Treasury securities. The
allocations in the sample portfolios are shown in Exhibit 2. The expected return estimates for the
2- and 30-year bonds, which are shown in Exhibit 3.
<image_2>
<image_3>
Morse interviews Horace Mann to assist him in evaluating fixed-income funds and securities
for the bank’s fixed-income offerings. Morse shows his the following financial data of three funds
presented in Exhibit 4 and asks him to review each fund. Mann assumes that there is no
reinvestment income and the yield curve remains unchanged in the preliminary review of each
fund.
Morse interviews Horace Mann to assist him in evaluating fixed-income funds and securities
for the bank’s fixed-income offerings. Morse shows his the following financial data of three funds
presented in Exhibit 4 and asks him to review each fund. Mann assumes that there is no
reinvestment income and the yield curve remains unchanged in the preliminary review of each
fund.
<image_4>
Morse
recommends Treasuries from the existing portfolio that he believes are overvalued and
will generate capital gains. Mann asks Morse why he chose only overvalued bonds with capital
gains and did not include any bonds with capital losses. Morse responds with two statements.
Statement 1
Taxable investors should prioritize selling overvalued bonds and always sell them
before selling bonds that are viewed as fairly valued or undervalued.
Statement 2
Taxable investors should never intentionally realize capital lo sses. /n <ocr>image_1 ocr text: Exhibit1 5-Year T-Note Modified duration 4.72 BPV per 100,000 in par value 44.8 Conversion factor for cheapest-to-deliver 0.8/nimage_2 ocr text: Exhibit 2 Sample Portfolio Allocation Sample Portfolio 2-year 10-year 30-year 1 50% 0% 50% 2 20% 70% 10% 3 40% 30% 30%/nimage_3 ocr text: Exhibit3 2-year 10-year Annual coupon payment 4.75 6.00 Current bond price 100 100 Expected price in one year 101.05 101.00/nimage_4 ocr text: Exhibit 4 Selected Data on Global Bond Portfolio Current average bond price 97 Expected average bond price in one year (end of Year 1) 97.5 Average annual coupon payment 2 Average bond convexity 0.30 Average bond modified duration 4.25 Expected average yield and yield spread change 0.20% Expected credit losses 0.20% Expected currency gains (Us$ appreciation 0.30%</ocr>",The number of five-year T-note futures contracts required to be sold in order to rebalance the immunizing portfolio is closest to,"['A. 329 contracts', 'B. 464 contracts', 'C. 501 contracts']",,,,,,,,table,B,"Solution: B.
With derivative overlay strategies, in order to calculate the number of contracts needed, the
futures BPV must be adjusted to reflect the conversion factor:
Futures BPV = Note BPV / Conversion Factor
44.8/0.8=56
Number of contracts = (Asset BPV–Liability BPV) / Futures BPV
(48,000-22,000)/56=464.286",hard,multiple-choice,derivatives,english,243,2,1,,,,,,,release_basic_txt,english_243,hard_multiple-choice_derivatives,hard_multiple-choice
565,english_237_3_r3,"Garrison Investments is a money management firm focusing on endowment management for
small colleges and universities. Over the past 20 years, the firm has primarily invested in U.S.
securities with small allocations to high quality long-term foreign government bonds. Garrison’s
largest account, Point University, has a market value of $800 million and an asset allocation as
detailed in Figure 1. 
<image_1>
Garrison recently convinced the board of trustees at Point University that the endowment
should allocate a portion of the portfolio to European equities. The board has agreed to the plan
but wants the allocation to international equities to be a short-term tactical move. Managers at
Garrison have put together the following proposal for the reallocation:
To minimize trading costs while gaining exposure to international equities, the
portfolio can use futures contracts on the domestic 12-month mid-cap equity index and
on the 12-month European equity index. This strategy will temporarily exchange $80
million of U.S. mid-cap exposure for European equity index exposure. Relevant data on
the futures contracts are provided in Figure 2.
<image_2>
Three months after proposing the international diversification plan, Garrison was able to
persuade Point University to make a direct short-term investment in Haikuza International (HI), a
Japanese electronics firm. Analysts at Garrison have regressed the historical returns of the HI
stock with changes in value of the yen. When the HI returns are measured in U.S. dollars, the
regression slope coefficient is +0.80.
The managers at Garrison are discussing other factors that may be considered if they
continue to diversify into foreign markets. The following statements are made:
Statement 1: The minimum variance hedge ratio is riskier than a simple direct one-for-one
hedge ratio because it depends on the correlation between asset and currency returns.
• Statement 2: An alternative to selling the yen forward to implement the HI currency hedge
would be to buy calls on the USD. This would protect the portfolio from currency risk while
still retaining potential currency upside. Unfortunately, it will have a higher initial cost. /n <ocr>image_1 ocr text: Figure 1:Point University Asset Allocation Asset Class Allocation Dividend/Coupon* Beta Large cap equities 40% 2.0% 1.0 Mid cap equities 25% 1.2% 1.3 Small cap equities 15% 0.9% 1.5 U.S.Bonds 10% 5.0% 0 U.K.Bonds 5% 4.7% 0 German Bonds 5% 4.0% 0 European Index 0% 1.8% 1.2 *Bond coupon payments are all semiannual./nimage_2 ocr text: Figure 2:Mid-cap Index and European Index Futures Data Futures Contract Price Beta Multiplier Mid-cap Index $908 1.10 250 European Index $2,351 1.05 50</ocr>","Which of the following is the correct short position in yen the managers at Garrison will execute to implement a minimum variance hedge for a JPY 200,000,000 currency exposure","['A. 40 million', 'B. 160 million', 'C. 240 million']",,,,,,,,table,B,"Solution: B.
The slope coefficient for a regression of the foreign asset returns measured in the investor’s
domestic currency (USD) is the MVHR. JPY 200,000,000 × 0.8 = JPY 160,000,000.",hard,multiple-choice,equity,english,237,3,1,,,,,,,release_basic_txt,english_237,hard_multiple-choice_equity,hard_multiple-choice
1141,english_400_1_r3,"This problem is useful for testing the ability of financial calculators and computer software. Consider the following cash flows.
 <image_1> /n <ocr>image_1 ocr text: Year Cash Flow 0 $2,016 11,448 2 24,280 3 22,800 4 8,000</ocr>",How many different IRRs are there? (Hint: Search between 20 percent and 70 percent.),,,,,,,,,table,four,"The equation for the IRR of the project is:
 0 = –$2,016 + $11,448 / (1 + IRR) – $24,280 / (1 + IRR)^{2} + $22,800 / (1 + IRR)^{3} – $8,000 / (1 + IRR)^{4}
 Using Descartes’ rule of signs, from looking at the cash flows we know there are four IRRs for this project. Even with most computer spreadsheets, we have to do some trial and error. From trial and error, IRRs of 25%, 33.33%, 42.86%, and 66.67% are found.",medium,open question,corporate finance,english,400,1,1,,,,,,,release_basic_txt,english_400,medium_open question_corporate finance,medium_open question
1086,english_384_1_r3,"Wilkinson Co. has identified an investment 
 project with the following cash flows.
 <image_1> /n <ocr>image_1 ocr text: Year Cash Flow $ 675 2 880 3 985 4 1,530</ocr>","If the discount rate is 10 percent, what is the 
 present value of these cash flows?",,,,,,,,,table,"$3,125.96","The time line is:
 <ans_image_1>
 To solve this problem, we must find the PV of each cash flow and add them. To find the PV of a lump sum, we use:
 PV = FV / (1 + r)^{t}
 PV@10% = $675 / 1.10 + $880 / 1.10^{2} + $985 / 1.10^{3} + $1,530 / 1.10^{4} = $3,125.96",easy,open question,corporate finance,english,384,1,1,,,,,,,release_basic_txt,english_384,easy_open question_corporate finance,easy_open question
1373,english_484_1_r3,"A driver entering into a car lease agreement can obtain the right to buy the car in 4 years for $10,000. The current value of the car is $30,000. The value of the car, S, is expected to follow the process $dS = \mu S dt + \sigma S dz$, where $\mu = -0.25, \sigma = 0.15$, and $dz$ is a Wiener process. The market price of risk for the car price is estimated to be -0.1. Consider the BSM formula described in the image.<image_1> /n <ocr>image_1 ocr text: APPENDIX PROOF OFTHE BLACK-SCHOLES-MERTON FORMULA USING RISK-NEUTRAL VALUATION We will prove the Black-Scholes result by first proving another key result that will also be useful in future chapters Key Result If Vis lognormally distributed and the standard deviation of ln V is w,then E[maxV=K,0]=EVNd-KNd (15A.1) where In[EV/K]+w2/2 d1 W ln[EV/K]-w2/2 M and E denotes the expected value. (See Problem 15.37 for a similar result for puts.</ocr>",What is the value of the option? Assume that the risk-free rate for all maturities is 6\%.,,,,,,,,,screenshot,"$1,832","The expected growth rate of the car price in a risk-neutral world is $-0.25-(-0.1*0.15) = -0.235$ The expected value of the car in a risk-neutral world in four years, $\hat{E}(S_T)$, is therefore $30,000e^{-0.235*4} = \$ 11,719$. Using the result in the given picture, the value of the option is $e^{-rT}[\hat{E}(S_T)N(d_1)-KN(d_2)]$, where \\
 $d_1 = \frac{ln(\hat{E}(S_T)/K)+\sigma^2 T/2}{\sigma \sqrt{T}}$\\
 $d_2 = \frac{ln(\hat{E}(S_T)/K)-\sigma^2 T/2}{\sigma \sqrt{T}}$\\
 r = 0.06, $\sigma = 0.15$, T = 4, and K = 10,000. It is \$1,832.",hard,open question,derivatives,english,484,1,1,,,,,,,release_basic_txt,english_484,hard_open question_derivatives,hard_open question
