idx,question_id,context,question,options,image_1,image_2,image_3,image_4,image_5,image_6,image_7,image_type,answers,explanation,topic_difficulty,question_type,subfield,language,main_question_id,sub_question_id,is_arithmetic,ans_image_1,ans_image_2,ans_image_3,ans_image_4,ans_image_5,ans_image_6,release,group_id,strata_full,strata_final
589,english_242_5_r3,"Robert Waterman, and Sophia Chen, are portfolio managers of a U.S-based investment
firm, Simon Fraser Analytics. Waterman and Chen are thinking investing in U.S. and U.K bonds.
They consider all kinds of yield curve and other strategies. Exhibit 1 shows the data they collected
from the liquid government bonds on U.S and U.K market.
<image_1>
Also both of them are interested in:
1. Riding the yield curve over next year
2. Long or short call and/or put options on U.K. government bonds through purchasing
convexity
3. Carrying out a carry trade between U.S and U.K 3-year duration bonds.
Waterman and Chen consider to buy a bond issued by a Norwegian BeeBalm Manufacture
firm. Exhibit 2 shows their expectation. 
<image_2>
According to their market expectation, they decide to hedge the NOK currency risk with a
one-year forward contract after investing in the BeeBalm bond. However, they find that market
has become inactive resulting in high transaction costs. There is a more active forward market for
the Swedish currency (SEK), so they determine to construct a cross hedge by selling the SEK
forward to buy the USD.
Lastly, Waterman and Chen think about to purchase a BB-rated U.S. corporate bond with a
duration of 3.5 and a yield of 3.7%. While they do not agree on the best way to measure the
credit spread, they both agree its credit will improve and spread will narrow down.
• Waterman says we can use Exhibit 1 to calculate the G-spread of the U.S. bond as being
3.64%
• Chen says the I-spread is superior because it is based on swap fixed rates and these have
less credit risk.
• Chen also admit that G-spread has an advantage because it is the return we can expect to
earn if we hedge interest rate risk. /n <ocr>image_1 ocr text: Exhibit 1 Government Bonds Yield Duration UnitedStates United Kingdom 0.9 0.5% 1.00% 1.9 0.8% 1.70% 3.0 1.00% 2.00% 4.1 1.10% 2.10% 4.9 1.20% 2.20% 5.8 1.25% 2.25%/nimage_2 ocr text: Exhibit 2 BeeBalm Manufacture firm bond data Risk free rate in Norway 2.8% Risk free rate in U.S 0.50% Return on BeeBalm bond in Norwegian NOK 7.00% Expected changes in the NOK relative to the U.S.dollar -0.40%</ocr>","In order for the cross hedge of selling the SEK forward to work, the correlation of","['A. SEK and NOK must be high, approaching +1'
 'B. SEK and USD must be high, approaching +1'
 'C. Both the SEK and NOK must be highly correlated to the USD, approaching +1']",,,,,,,,table,A,"Solution: A
The U.S.-based firm would normally sell the foreign currency (NOK) and buy the USD to hedge
the currency risk. An alternative is to sell another currency that is highly correlated to the NOK, a
form of cross hedge (sometimes called a proxy hedge). The idea is that if the NOK declines versus
the USD, the SEK will also decline for a gain on the short SEK contracts that offsets the loss on
NOK. There must be high correlation and a predictable relationship of the SEK and NOK for this to
work. Higher correlation to the USD has nothing to do directly with the cross hedge of the
currency risk. Note that if the USD and the other currencies are highly correlated, it suggests they
change in similar fashion to each other; in other words, the exchange rate will be relatively stable
and change in currency value will be a less significant factor in the return earned from investing
in the foreign bond.",hard,multiple-choice,fixed income,english,242,5,0,,,,,,,release_basic_txt,english_242,hard_multiple-choice_fixed income,hard_multiple-choice
1365,english_479_2_r3,"Consider an instrument that will pay off S dollars in 2 years, where S is the value of the Nikkei index. The index is currently 20,000. The yen/dollar exchange rate is 100 (yen per dollar). The correlation between the exchange rate and the index is 0.3 and the dividend yield on the index is 1% per annum. The volatility of the Nikkei index is 20% and the volatility of the yen/dollar exchange rate is 12%. The interest rates (assumed constant) in the U.S. and Japan are 4% and 2%, respectively. Recall the change of numeraire principle in the image.<image_1> /n <ocr>image_1 ocr text: Define: Px(t, T):Value at time t in currency X of a zero-coupon bond paying off 1 unit of currencyX at time T Pyt, T): Value at time t in currency Y of a zero-coupon bond paying off 1 unit of currency Yat time T VTValue of V at time T Ex(V): Expected value of Vt in a world defined by numeraire Px(t, T) EyV):Expected value of V in a world defined by numeraire Pyt, T) The numeraire ratio when we move from the Pyt,T) numeraire to the Pxt,T) numeraire is Pxt,T) Wt Pyt,T where S(t) is the spot exchange rate units of Y per unit of X) at time t.It follows from this that the numeraire ratio W(t) is the forward exchange rate (units of Y per unit of X) for a contract maturing at time T.Define: wVolatility of W vVolatility of V PvwInstantaneous correlation between V and W. From equation (28.35), the change of numeraire increases the growth rate of V by ay, where ay=Pvww (30.4) If it is assumed that the volatilities and correlation are constant, this means that Ex(Vr) = Ey(Vr)ePw0y0wT (30.5) or as an approximation ExV=EyVr1+PvwywT (30.6) These equations can be used to value diff swaps where interest in one currency is applied to a principal in another currency..</ocr>",Suppose that the exchange rate at some point during the life of the instrument is $Q$ and the level of the index is $S$. Can a U.S. investor create a portfolio that changes in value by approximately $\bigtriangleup S$ dollar when the index changes in value by $\bigtriangleup S$ yen by investing S dollars in the Nikkei and shorting $SQ$ yen?,,,,,,,,,screenshot,Yes.,"An amount SQ yen is invested in the Nikkei. Its value in yen changes to $SQ(1+\frac{\bigtriangleup S}{ S})$. In dollars this is worth $SQ\frac{1+\bigtriangleup S/S}{Q+\bigtriangleup Q}$, where $\bigtriangleup Q$ is the increase in $Q$ . When terms of order two and higher are ignored, the dollar value becomes $S(1+\bigtriangleup S/S -\bigtriangleup Q/Q)$. \\
 The gain on the Nikkei position is therefore $\bigtriangleup S -S\bigtriangleup Q /Q$, when $SQ$ yen are shorted the gain in dollars is $SQ(\frac{1}{Q}-\frac{1}{Q+\bigtriangleup Q})$\\
 This equals $S\bigtriangleup Q / Q$ when terms of order two and higher are ignored. The gain on the whole position is therefore $\bigtriangleup S$as required.",hard,open question,derivatives,english,479,2,0,,,,,,,release_basic_txt,english_479,hard_open question_derivatives,hard_open question
614,english_247_3_r3,"Daenerys Targaryen is the owner of an investment management firm, Westeros Funds. The firm's
three largest funds, Arya Investments, Bran Capital and Cersei Partners, offer a variety of
investment styles with a range of investment approaches. Characteristics of the three funds are
presented in Exhibit 1.
<image_1>
Targaryen has been worried recently that her fund managers may be subject to some
common behavioral biases. Commenting on these biases, Targaryen makes the following two
statements:
1) ""I noticed that one of the funds has been poorly diversified, with a large number of holdings
in securities that haven't performed well over the last few years. I think this fund has
excessive risk exposure.""
2) ""The manager of one of my funds has not sold his securities in a very long time with the
expectation of strong returns, and as a result likely missed out on profitable new investment
opportunities.""
The North foundation is one of Westeros’ Clients. In a meeting with Westeros, the
foundation board tells Targaryen that they are considering hiring a new equity investment
manager, and want Targaryen to evaluate two candidate funds. Fund information is presented in
Exhibit2
<image_2>
<image_3> /n <ocr>image_1 ocr text: Exhibit 1: Fund Information for Arya, Bran and Cersei Arya Bran Cersei Target active risk. 9.00% 6.50% 1.00% Maximum sector deviation 2.50% 0.00% 2.00% Maximum risk contribution to a single security. 7.00% 1.00% 1.00% Monthly arithmetic return 0.70% 0.80% 1.00% Standard deviation of return. 3.00% 4.00% 4.50%/nimage_2 ocr text: Exhibit 2: Description of Funds Fund Description Dorne's manager seeks returns by following a comprehensive process of understanding the business model and competitive advantages of each firm.He also uses financial models to forecast free cash flows and integrates growth in the. Dorne analysis to determine each security's current valuation. The fund manager uses his judgment to evaluate the relative importance of this analysis and decides on. portfolio allocation with the help of the investment committee. The fund, with the help of analysts, maintains a wide coverage of companies within each industry.. Essos is a long-only fund and takes no leverage. It aims to achieve return premiums from a balanced exposure to known, rewarded factors. It incorporates. EsSoS research-based rules and factor-based models to determine appropriate sector weights. The fund seeks to reduce exposure to idiosyncratic risk and holds a large. number of securities using a scoring approach to rank them according to value and./nimage_3 ocr text: profitability metrics within sectors. The limit on any single security position is  2% irrespective of benchmark weight, sector deviations  8% from the benchmark. and active risk limited to 5%. Riverland focuses on skillfully timing exposures to factors, both rewarded and unrewarded, and to other asset classes. The fund's managers use timing skills to. Riverland opportunistically shift their portfolio to capture returns from factors such as country, asset class, and sector.</ocr>","Based on return and risk data in Exhibit 1, which manager's portfolio has the highest expected compound return using a leverage factor of 2",['A. Arya' 'B. Bran' 'C. Cersei'],,,,,,,,table,C,Solution: C.<ans_image_1>,hard,multiple-choice,equity,english,247,3,0,,,,,,,release_basic_txt,english_247,hard_multiple-choice_equity,hard_multiple-choice
217,english_163_4_r3,"Alpha Consultants is working with the German-based Berg Pension Fund to select a fixed-income firm to manage a €100 million global bond portfolio. Delta Managers is the third and final presenter to Berg's investment committee. After going through its investment philosophy and process, Delta addresses several questions.
Alpha expresses concern about the use of leverage in the portfolio. Delta indicates that by using 100% leverage, it can generate incremental returns. Delta provides the committee with the portfolio's characteristics in Exhibit 1.


<image_1>

Berg's committee is concerned that the portfolio's duration is inappropriate given the committee's view that rates might rise. They ask how Delta can use the futures market to manage the portfolio's interest rate risk. The committee states that it would like a target duration of 4.


Delta then makes the following statement to the committee:
International interest rates are not perfectly correlated. In fact, because this is a global bond portfolio, 60% of the portfolio is from German issuers and has average duration of 7 and the remainder is from UK issuers with average duration of 4.5, both before any hedging activities to meet the committee's duration target. Historically, the country beta of the United Kingdom (i.e., for German rates relative to UK rates) is estimated to be 0.55.


<image_2>

Berg's committee then asks Delta to make a recommendation about whether the portfolio should be hedged back to the euro, its domestic currency. Delta responds that short interest rates are currently 2.50% in the United Kingdom and 3.25% in Germany and that Delta's currency strategists forecast that the euro will depreciate by 0.35%.
Berg's committee then asks whether a global portfolio would benefit from the inclusion of emerging market debt. Delta responds that returns can be attractive in emerging markets during certain periods but that the following risks of this asset class must be understood:
Risk 1: Returns are frequently characterized by substantial positive skewness. Risk 2: If a default of sovereign debt occurs, recovery against sovereign states can be difficult. Risk 3: The frequency of default and ratings transition is significantly higher than it is in developed market corporate bonds with similar ratings.
At the conclusion of the presentation, Alpha and Berg's committee convene to discuss which of the three managers that presented should be selected for the €100 million mandate. Alpha advises Berg that the following considerations are important when evaluating fixed-income portfolio managers:
Criterion 1: Style analysis will enable us to understand the active risks the manager has taken relative to the benchmark and which biases have consistently added to performance. Criterion 2: Decomposing the portfolio's historical returns will show whether the manager's skills will allow the manager to consistently outperform over time. Criterion 3: We could select two of the three managers that presented if our analysis shows that the correlation between their alphas is low. /n <ocr>image_1 ocr text: Exhibit 1 Portfolio Characteristics Assets Liabilities Portfolio ( millions 200 100 Duration 6 1 Expected return (%) 5.5 Interest rate on borrowed 4.75 funds (%)/nimage_2 ocr text: Exhibit 2 Futures Market Data E Futures contract price 100,000 Conversion factor 1.15 Duration of cheapest-to-deliver 5.2 bond Market price of cheapest-to-deliver 98,000 bond</ocr>","Based on Delta's expectations regarding currencies, and assuming that interest rate parity holds, should Delta most likely recommend using forward contracts to hedge the portfolio's British pound exposure?","['A. No, because the euro is expected to depreciate by more than 0.35%'
 'B. Yes'
 'C. No, because the euro is expected to appreciate by more than 0.35%']",,,,,,,,table,B,"Answer = B. Using interest rate parity, the euro is expected to depreciate by 3.25% – 2.50% = 0.75%. Delta's strategists believe that the euro will depreciate by only 0.35%. Based on expected returns alone, Delta should hedge the currency risk using a forward contract and lock in a 0.75% gain in British pounds.",medium,multiple-choice,fixed income,english,163,4,0,,,,,,,release_basic_txt,english_163,medium_multiple-choice_fixed income,medium_multiple-choice
1196,english_422_4_r3,<image_1> /n <ocr>image_1 ocr text: State of Return on Return on Economy Stock A Stock B Bear .108 .067 Normal .126 .113 Bull .064 .276</ocr>,Calculate standard deviation of Stock B.,,,,,,,,,table,".1401, or 14.01%","To calculate the standard deviation, we first need to calculate the variance. To find the variance, we find the squared deviations from the expected return. We then multiply each possible squared deviation by its probability, and then add all of these up. The result is the variance. So, the variance and standard deviation of Stock B are:
 <ans_image_2>",easy,open question,equity,english,422,4,0,,,,,,,release_basic_txt,english_422,easy_open question_equity,easy_open question
334,english_185_3_r3,"Kamiko Watanabe, is a portfolio adviser at Wakasa Bay Securities. She specializes in the use of derivatives to alter and manage the exposures of Japanese equity and fixed-income portfolios. She has meetings today with two clients, Isao Sato and Reiko Kondo. Sato is the manager of the Tsushima Manufacturing pension fund, which has a target asset allocation of 60% equity and 40% bonds. The fund has separate equity and fixed-income portfolios, whose characteristics are provided in Exhibits 1 and 2. Sato expects equity values to increase in the coming two years and, in order to avoid substantial transaction costs now and in two years, would like to use derivatives to temporarily rebalance the portfolio. He wants to maintain the current beta of the equity portfolio and the current duration of the bond portfolio.

<image_1>
<image_2>
In order to rebalance the pension fund to its target allocations to equity and bonds, Watanabe recommends using Nikkei 225 Index futures contracts, which have a beta of 1.05 and a current contract price of ¥1,525,000, and Nikko Bond Performance Index futures, which have a duration of 6.90 and a current contract price of ¥4,830,000. She assumes the cash position has a duration of 0.25. Sato wants to know if other derivatives could be used to rebalance the portfolio. In response, Watanabe describes the characteristics of a pair of swaps that, together, would accomplish the same rebalancing as the proposed futures contracts strategy. Kondo manages a fixed-income portfolio for the Akito Trust. The portfolio’s market value is ¥640 million, and its duration is 6.40. Kondo believes interest rates will rise and asks Watanabe to explain how to use a swap to decrease the portfolio’s duration to 3.50. Watanabe proposes a strategy that uses a pay-fixed position in a three-year interest rate swap with semi-annual payments. Kondo decides he wants to use a four-year swap to manage the portfolio’s duration. After some calculations, Watanabe tells him a pay-fixed position in a four-year interest rate swap with a duration of –2.875 would require a notional principal of ¥683 million (rounded to the nearest million yen) to achieve his goals.

Kondo asks Watanabe whether it would be possible to cancel the swap prior to its maturity. Watanabe responds with three statements: Statement 1: If you purchase a swaption from the same counterparty as the original swap, it is common to require the payments of the two swaps be netted or cash settled if the swaption is exercised. Statement 2: You could purchase a payer swaption with the same terms as the original swap. This approach would protect you from falling fixed swap rates but at the cost of the premium you would pay to the swaption counterparty. Statement 3: During the life of the swap, you could enter into a new pay-floating swap with the same terms as the original swap, except it would have a maturity equal to the remaining maturity of the original swap. However, the fixed rate you receive might be lower than the fixed rate you are paying on the original swap. /n <ocr>image_1 ocr text: Exhibit 1:Tsushima Pension Fund Equity Portfolio Characteristics Current marketvalue 27.5 billion Benchmark Nikkei 225Index Current beta 1.15/nimage_2 ocr text: Exhibit 2:Tsushima Pension Fund Bond Portfolio Characteristics Current market value 27.5 billion NikkoBond Performance Benchmark Index composite Current duration 4.75</ocr>",Which of these is most likely to be a characteristic of one of the two swaps Watanabe describes to Sato,"['A. Receive return on Nikko Bond Performance Index'
 'B. Pay return on Nikkei 225 Index' 'C. Receive Libor']",,,,,,,,table,C,Answer = C. One of the swaps would be pay Nikko Bond Performance Index return and receive Libor.,hard,multiple-choice,derivatives,english,185,3,0,,,,,,,release_basic_txt,english_185,hard_multiple-choice_derivatives,hard_multiple-choice
459,english_213_4_r3,"Jevan Chen is a tax adviser who provides tax-aware
advice to various private clients.
Two of Chen’s clients are Sameeha Payne and Chaow Yoonim, who are US citizens and
reside in the United States. A third client, LaShawna Kaminski, lives in a tax jurisdiction
with a flat tax rate of 20%, which applies to all types of income and capital gains.
Payne is the founder and sole owner of Solar Falls Power, a privately held renewable
energy company located in the United States. In addition to owning Solar Falls Power,
Payne is also the sole owner of the property that the company uses as its headquarters.
The vast majority of Payne’s wealth is represented by these two assets. Payne’s tax cost
basis in each asset is close to zero.
Payne consults with Chen to develop a strategy to mitigate the risk associated
with the two concentrated ownership positions. Payne’s primary objective is to mitigate
the concentration risk of both positions without triggering a taxable event while
maintaining sole ownership. Payne’s secondary objective is to monetize the property.
Payne is considering becoming a resident of Singapore, which operates under a
territorial tax system, while maintaining her US citizenship. She contacts Chen to
discuss tax implications related to the potential change in residency. She asks Chen
the following tax-related
question:
As a US citizen, if I become a resident of Singapore, would I be taxed (1)
only on income earned where I am a resident, (2) only on income earned
where I am a citizen, or (3) on all income earned worldwide?
Chen next advises Yoonim, who recently inherited shares of Steelworq from a
relative who passed away. Yoonim’s deceased relative was a resident of the United
States, which is a country that uses a “step-up”
in basis at death. The deceased relative
purchased the Steelworq shares 20 years ago for $14,900 (including commissions and
other costs). At the time of the relative’s death, the Steelworq shares had a market
value of $200,000, and Yoonim recently sold the shares for $180,000. Yoonim’s capital
gains tax rate is 20%.
Yoonim seeks to diversify his portfolio by using the proceeds from the sale of
Steelworq shares to invest in mutual funds. Yoonim’s investment adviser identifies
three mutual funds, and Yoonim asks Chen to determine which fund will be the most
tax efficient going forward. Selected data for the three mutual funds is presented in
Exhibit 1.
<image_1>
Yoonim next asks Chen to evaluate Mutual Fund D, which has an embedded gain
of 5% of the ending portfolio value. Yoonim asks Chen to calculate a post-liquidation
return over the most recent three-year
period. Mutual Fund D exhibited after-tax
returns of 7.0% in Year 1, 3.3% in Year 2, and 7.5% in Year 3, and capital gains are
taxed at a 20% rate.
Finally, Chen turns his attention to Kaminski, who currently has $1 million invested
in a tax-deferred
account earning 7% per year. Kaminski will sell this investment at the
end of five years, withdraw the proceeds from the sale in a lump sum, and use those
proceeds to fund the purchase of a vacation home. Kaminski asks Chen to calculate
the after-tax
wealth that will be available in five years. /n <ocr>image_1 ocr text: Exhibit 1 Selected Data on Mutual Funds A,B,and C Capital Gains Starting Assets Gains Distributions Losses Fund A $3,000,000 $300,000 $400,000 Fund B $4,000,000 $500,000 $300,000 $200,000 Fund C $5,000,000 $700,000 $500,000</ocr>","Based on Exhibit 1, the mutual fund most likely to be the most tax efficient going forward is:",['A. Fund A' 'B. Fund B' 'C. Fund C'],,,,,,,,table,A,"A is correct. Fund A has a lower percent capital gain exposure (PCGE) than
does Fund B or Fund C. PCGE is an estimate of the percentage of a fund’s assets
that represent gains and measures how much the fund’s assets have appreciated.
It can be an indicator of possible future capital gain distributions. PCGE
can be used to gauge the amount of tax liability embedded in a mutual fund.
The negative PCGE of Fund A implies that Fund A is more likely to be the most
tax-efficient
fund going forward, because it can use the embedded losses in its
portfolio to offset future realized gains. <ans_image_1>",hard,multiple-choice,portfolio management,english,213,4,0,,,,,,,release_basic_txt,english_213,hard_multiple-choice_portfolio management,hard_multiple-choice
396,english_198_3_r3,"Serena is a risk management specialist with Liability Protection Advisors. Trey, CFO
of Kiest Manufacturing, enlists Serena’s help with three projects. The first project is
to defease some of Kiest’s existing fixed-rate
bonds that are maturing in each of the
next three years. The bonds have no call or put provisions and pay interest annually.
Exhibit 1 presents the payment schedule for the bonds.
<image_1>
The second project for Serena is to help Trey immunize a $20 million portfolio of
liabilities. The liabilities range from 3.00 years to 8.50 years with a Macaulay duration
of 5.34 years, cash flow yield of 3.25%, portfolio convexity of 33.05, and basis point
value (BPV) of $10,505. Serena suggested employing a duration-matching
strategy
using one of the three AAA rated bond portfolios presented in Exhibit 2.
<image_2>
Serena explains to Trey that the underlying duration-matching
strategy is based
on the following three assumptions.
1 Yield curve shifts in the future will be parallel.
2 Bond types and quality will closely match those of the liabilities.
3 The portfolio will be rebalanced by buying or selling bonds rather than using
derivatives.

The third project for Serena is to make a significant direct investment in broadly
diversified global bonds for Kiest’s pension plan. Kiest has a young workforce, and
thus, the plan has a long-term
investment horizon. Trey needs Serena’s help to select
a benchmark index that is appropriate for Kiest’s young workforce. Serena discusses
three benchmark candidates, presented in Exhibit 3.
<image_3>
With the benchmark selected, Trey provides guidelines to Serena directing her to
(1) use the most cost-effective
method to track the benchmark and (2) provide low
tracking error.
After providing Trey with advice on direct investment, Serena offered him additional
information on alternative indirect investment strategies using (1) bond mutual funds,
(2) exchange-traded
funds (ETFs), and (3) total return swaps. Trey expresses interest
in using bond mutual funds rather than the other strategies for the following reasons.
Reason 1 Total return swaps have much higher transaction costs and initial
cash outlay than bond mutual funds.
Reason 2 Unlike bond mutual funds, bond ETFs can trade at discounts to
their underlying indexes, and those discounts can persist.
Reason 3 Bond mutual funds can be traded throughout the day at the net
asset value of the underlying bonds. /n <ocr>image_1 ocr text: Exhibit 1 Kiest Manufacturing Bond Payment Schedule (as of beginning of Year 1) Maturity Date Payment Amount End of Year 1 $9,572,000 End of Year 2 $8,392,000 End of Year 3 $8,200,000/nimage_2 ocr text: Exhibit2 Possible AAA Rated Duration-Matching Portfolios Portfolio A Portfolio B Portfolio C Bonds (term, coupon) 4.5 years, 2.63% 3.0 years, 2.00% 1.5 years, 1.25% 7.0 years, 3.50% 6.0 years, 3.25% 11.5 years,4.38% 8.5 years, 3.88% Macaulay duration 5.35 5.34 5.36 Cash flow yield. 3.16% 3.33% 3.88% Convexity 31.98 34.51 50.21 BPV $10,524 $10,506 $10,516/nimage_3 ocr text: Exhibit 3 Global Bond Index Benchmark Candidates Effective Index Name Duration Index Characteristics Global Aggregate 7.73 Market cap weighted; Treasuries, corpo- rates, agency, securitized debt Global Aggregate GDP 7.71 Same as Global Aggregate, except GDP Weighted weighted Global High Yield 4.18 GDP weighted; sovereign, agency, corporate debt</ocr>",Which portfolio in Exhibit 2 fails to meet the requirements to achieve immunization for multiple liabilities?,['A. Portfolio A' 'B. Portfolio B' 'C. Portfolio C'],,,,,,,,table,A,"A is correct. The two requirements to achieve immunization for multiple liabilities are for the money duration (or BPV) of the asset and liability to match and for the asset convexity to exceed the convexity of the liability. Although all three portfolios have similar BPVs, Portfolio A is the only portfolio to have a lower convexity than that of the liability portfolio (31.98, versus 33.05 for the $20 million liability portfolio), and thus, it fails to meet one of the two requirements needed for immunization.",hard,multiple-choice,fixed income,english,198,3,0,,,,,,,release_basic_txt,english_198,hard_multiple-choice_fixed income,hard_multiple-choice
1136,english_398_9_r3,"The treasurer of Amaro Canned Fruits, Inc., has 
 projected the cash flows of Projects A, B, and C as follows:
 <image_1>
 Suppose the relevant discount rate is 12 percent per year. /n <ocr>image_1 ocr text: Year Project A Project B Project C 0 $225,000 $450,000 $225,000 165,000 300,000 180,000 2 165,000 300,000 135.000</ocr>","Suppose Amaro’s budget for these projects is $450,000. The projects are not divisible. Which project(s) should Amaro accept?",,,,,,,,,table,Projects A and C,"Remember that the NPV is additive across projects. Since we can spend $450,000, we could take Project B or Project A and Project C. Since the combined NPV of Projects A and C is higher than Project B, we should take both Projects A and C.",easy,open question,alternative investments,english,398,9,0,,,,,,,release_basic_txt,english_398,easy_open question_alternative investments,easy_open question
443,english_210_3_r3,"Monongahela Ap is an equity fund analyst. His manager asks him to evaluate three
actively managed equity funds from a single sponsor, Chiyodasenko Investment Corp.
Ap’s assessments of the funds based on assets under management (AUM), the three
main building blocks of portfolio construction, and the funds’ approaches to portfolio
management are presented in Exhibit 1. Selected data for Fund 1 is presented
in Exhibit 2.
<image_1>
<image_2>
Ap learns that Chiyodasenko has initiated a new equity fund. It is similar to Fund
1 but scales up active risk by doubling all of the active weights relative to Fund 1. The
new fund aims to scale active return linearly with active risk, but implementation
is problematic. Because of the cost and difficulty of borrowing some securities, the
new fund cannot scale up its short positions to the same extent that it can scale up
its long positions.
Ap reviews quarterly holdings reports for Fund 3. In comparing the two most
recent quarterly reports, he notices differences in holdings that indicate that Fund 3
executed two trades, with each trade involving pairs of stocks. Initially, Fund 3 held
active positions in two automobile stocks—one was overweight by 1 percentage point
(pp), and the other was underweight by 1pp. Fund 3 traded back to benchmark weights
on those two stocks. In the second trade, Fund 3 selected two different stocks that
were held at benchmark weights, one energy stock and one financial stock. Fund 3
overweighted the energy stock by 1pp and underweighted the financial stock by 1pp.
In Fund 3’s latest quarterly report, Ap reads that Fund 3 implemented a new formal
risk control for its forecasting model that constrains the predicted return distribution
so that no more than 60% of the deviations from the mean are negative. /n <ocr>image_1 ocr text: Exhibit1 Ap's Assessments ofFunds 1,2,and3 Fund Size Number of Fund Fund Category (AUM) Securities Description 1 Small-cap stocks Large Small Fund 1 focuses on skillfully timing exposures to factors,both rewarded and unrewarded, and to other asset classes.The fund's managers use timing skills to opportunistically shift their portfolio to capture returns from factors such as country, asset class,and sector.Fund 1 prefers to make large trades. 2 Large-cap stocks Large Large Fund 2 holds a diversified portfolio and is concentrated in terms of factors.It targets individual securities that reflect the manager's view that growth firms will outperform value firms Fund 2 builds up its positions slowly,using unlit venues when possible. 3 Small-cap stocks Small Large Fund 3 holds a highly diversified portfolio.The fund's managers start by evaluating the risk and return characteristics of indi vidual securities and then build their portfolio based on their stock-specific forecasts.Fund 3 prefers to make large trades/nimage_2 ocr text: Exhibit2 Selected Data for Fund 1 Factor Market Size Value Momentum Coefficient 1.080 0.098 -0.401 0.034 Variance of the market 0.00109 0.00053 0.00022 -0.00025 factor return and covari ances with the market factor return Portfolio's monthly standard deviation of returns 3.74%</ocr>",Which fund in Exhibit 1 most likely has the greatest implicit costs to implement its strategy?,['A. Fund 1' 'B. Fund 2' 'C. Fund 3'],,,,,,,,table,A,"A is correct. Because Fund 1 has a large AUM but focuses on small-cap stocks, holds a relatively small number of securities in its portfolio, and prefers to make large trades, Fund 1 likely has the highest implicit costs. Each of these characteristics serves to increase the market impact of its trades. Market impact is a function of the security’s liquidity and trade size. The larger a trade size relative to a stock’s average daily volume, the more likely it is that the trade will affect prices. The relatively low level of trading volume of small-cap stocks can be a significant implementation hurdle for a manager running a strategy with significant assets under management and significant positive active weights on smaller companies.",hard,multiple-choice,equity,english,210,3,0,,,,,,,release_basic_txt,english_210,hard_multiple-choice_equity,hard_multiple-choice
